,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,19,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Mckinley,3500,309801,1,2
,Carter,Buchanan,1000,302401,3,3
,Clinton,Taylor,4000,348001,1,1
,Adams,Hayes,2000,232701,1,4
,Lincoln,Grant,500,108001,1,1
,Garfield,Buren,2000,33801,6,6
,Cleveland,Fillmore,500,33801,7,7
,総取引における距離の平均,1928.0,合算地,13500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,15,買いたい家の数,15,
,売れた家の数,15,買えた家の数,15,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Garfield,2000,94401,1,1
,Taft,Cleveland,2000,193301,1,8
,Hoover,Clinton,1500,257501,1,1
,Truman,Roosevelt,500,257501,5,5
,Obama,Eisenhower,1500,45801,8,15
,Washington,Ford,1000,97001,1,1
,Monroe,Lincoln,500,108001,1,10
,Fillmore,Adams,1000,168001,1,9
,Buren,Reagan,2000,94401,7,12
,Taylor,Nixson,3500,264801,3,3
,Pierce,Harrison,3000,309801,1,1
,Buchanan,Carter,1000,247901,5,6
,Grant,Jefferson,2000,74801,7,14
,Hayes,Johnson,5000,218700,6,7
,Mckinley,Arthur,1500,302401,2,2
,総取引における距離の平均,1866.0,合算地,28000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,12,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Tyler,2500,245001,2,3
,Eisenhower,Jackson,3500,158801,1,4
,Roosevelt,Washington,1000,108001,2,6
,Reagan,Monroe,2000,69801,1,7
,Ford,Obama,2000,115200,1,5
,Jefferson,Coolidge,2000,45801,1,8
,Arthur,Polk,1000,309801,1,1
,Harrison,Pierce,3000,309801,2,2
,総取引における距離の平均,2125.0,合算地,17000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Taft,1000,74800,3,4
,Jackson,Truman,2500,198001,3,3
,Polk,Hoover,2000,336001,1,1
,Tyler,Madison,2500,312801,2,2
,総取引における距離の平均,2000.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,2,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Madison,Bush,2000,26400,1,1
,総取引における距離の平均,2000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Adams,2000,108001,1,2
,Lincoln,Clinton,2500,108001,2,2
,総取引における距離の平均,2250.0,合算地,4500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Lincoln,2500,257501,2,3
,Clinton,Hoover,1500,348000,1,6
,Adams,Taylor,2500,232701,3,4
,Monroe,Garfield,3000,108001,1,7
,Hayes,Buren,1500,218701,1,5
,Mckinley,Buchanan,2000,302401,1,2
,総取引における距離の平均,2166.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,15,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Harrison,3000,309801,2,2
,Taft,Mckinley,3000,193301,2,7
,Hoover,Carter,500,257500,4,4
,Buren,Mckinley,1000,94401,5,7
,Taylor,Pierce,500,264801,3,3
,Buchanan,Cleveland,3000,247901,5,5
,Grant,Obama,2500,74801,1,8
,Garfield,Hayes,2500,33801,1,9
